case_id,entity,issue,issue_family,image_sha256,platform,dataset_key,dataset_url,upstream_id,declared_license,obtainable
cv1-0000,barley,Healthy,healthy,5e647e211fb4fd3af619c3d2e0e982e212f0c838ef25c5567a01f28090de8ff0,iNaturalist,inat_hordeum_vulgare_healthy_barley_cc0_cc_by,https://www.inaturalist.org/photos/530608110,530608110,CC-BY,record_url
cv1-0001,sorghum_jowar,Healthy,healthy,f26a38fc3052a18ab80d526edc35ed8e0d3809b0d20668d04bd3195ba17cb2ce,Kaggle,kaggle_kanishkasalgude_d59india_unknown_augmented_imagefolder,,,unknown,dataset
cv1-0002,maize,Healthy,healthy,7236f8184c05c0fb4ef370f28bce98623692f2db99b39828afc46569abbf05a0,local (no external source),local_yolo,,,unclassified,none
cv1-0003,pearl_millet_bajra,Healthy,healthy,7fbbf2510324e2a51c733fcda688312e3ddb0b44fa0745f6585ffa273f9db503,Kaggle,kaggle_kanishkasalgude_d59india_unknown_augmented_imagefolder,,,unknown,dataset
cv1-0004,wheat,Powdery Mildew,disease,5e6bd753efbedfecdf44f4304fae822660303dbc91cf1c385d2b8128a2d7ab06,Kaggle,kaggle_wheat_plant_diseases_cc0_imagefolder,,,CC0,dataset
cv1-0005,rice_paddy,False Smut,disease,f1b78c1f827e422941e2320c86587ab66b64b3ff0be2bce21b89e0057bd54dc5,Kaggle,kaggle_rice_leaf_disease_mit_imagefolder,,,MIT,dataset
cv1-0007,pearl_millet_bajra,Downy Mildew,disease,c9a7f3d97c15504da5c42718cce3c39c9dcee043fd2fba7dfaf06a15d3b672ff,Roboflow Universe,roboflow_leaf_chalmers_pearl_millet_il2bp_v2_downy_cc_by_4,,,CC-BY-4.0,dataset
cv1-0008,finger_millet_ragi,Blast,disease,ca32647844acb3f8b5d224a4c0089b0aa12b0c5b46824942c632e811b8e480c3,Kaggle,kaggle_rajsingh365_millet_crop_healthyrustblast_blast,,,unclassified,dataset
cv1-0009,cashew,Gummosis,disease,853f27184a2c74800a2670555030d1511bc37ed3500320e1601a5d8ca09f685c,Kaggle,kaggle_ccmt_crop_pest_disease_nirmalsankalana_cashew_additional_imagefolder,,,unclassified,dataset
cv1-0010,coffee,Brown Eye Spot,disease,d70df0e7f809468abba6b5e6a12dd339e0220a287073e57436641d69393db32d,Kaggle,kaggle_bracol_reviewed_cc_by_4_yolo,,,CC-BY-4.0,dataset
cv1-0011,tea,Healthy,healthy,6c21aa4ac5fd81eb9ad6fbde27473f98853213106aeaab09f68cc175aeb7aaf2,Kaggle,kaggle_custom_100_category_nc_sa_imagefolder,,,CC-BY-NC-SA,dataset
cv1-0012,coffee,Rust,disease,f34007b12b199b2a8298b4a46807deaae85f6023b9c0ef014cd9e30ba1753dd9,Kaggle,kaggle_custom_100_category_nc_sa_imagefolder,,,CC-BY-NC-SA,dataset
cv1-0013,cotton,Bacterial Blight,disease,71a51ef29125c9d719a8a93fc103d91c0ebfdd173efd82e4db523e873e4d7b28,Mendeley Data,mendeley_cotton_sar_cld_2024_cc_by_4_augmented,,,CC-BY-4.0,dataset
cv1-0014,cotton,Healthy,healthy,c1c1b1b929af2710a8d0ca9f3895725f59ecbd81e2630c957e3c587bd8c41848,Mendeley Data,mendeley_cotton_sar_cld_2024_cc_by_4_augmented,,,CC-BY-4.0,dataset
cv1-0015,tobacco,Target Spot,disease,b5ef1b241a0cbfe58b78106ac56f572eef4f644f181c572fa549c73a11742971,Roboflow Universe,roboflow_universe_plant_txvrf_tobacco_2khcs_v6,,,unclassified,dataset
cv1-0016,sugarcane,Pokkah Boeng,disease,4906388e75739f9ca98c3a16b200f078220a230180cc3cdc48a6be3c8ece391e,Kaggle,kaggle_anandjain1112_sugarcane_img_dis_9026_unknown_imagefolder,,,unknown,dataset
cv1-0017,tea,Blister blight,disease,06ce3f661af5ec9709a41754e32d60da639895dc59bc6658d5acf5f20dbe9564,Kaggle,kaggle_sharronlee_tea_pests_diseases_cc_by_nc_sa_yolo,,,CC-BY-NC-SA,dataset
cv1-0018,sugarcane,Red Rot,disease,232085d1b83791fc633d2fbbe23d68c7c94bb77063459fcddf170ebbbc51018f,HuggingFace,hf_sugarcane_leaf_yaswanth_mendeley_cc_by_4,,,CC-BY-4.0,dataset
cv1-0019,cotton,Corynespora Leaf Spot,disease,8b1a4e33543e49f258709f6db46f5bbcb78c39ca095e844405772f6566499551,Kaggle,kaggle_adiithape1_plant_leaf_master_cc_by_sa_4_imagefolder,,,CC-BY-SA,dataset
cv1-0020,tobacco,Potato Virus Y,disease,6083df702fecf24df3ac0c5226ffef09f95b0004216dcc2a746291a4c0182a82,HuggingFace,hf_joker5800_tobacco_leaf_diseases_unknown_viewer,,,unknown,dataset
cv1-0022,arecanut,Yellow leaf disease,disease,275c1644025903e040b88b9bd7764f6270b6a8c478f92402d7e10ce31dbd4efa,Kaggle,kaggle_arecanut_tejpaviraj_unknown_imagefolder,,,unknown,dataset
cv1-0023,cashew,Healthy,healthy,a1c1a4762f4a38fac53d82ff686031be8a682c967870141b4a4989c22d3a22fd,Kaggle,kaggle_olaidegabriel_cashew_healthy_unknown_imagefolder,,,unknown,dataset
cv1-0024,cocoa,Cocoa swollen shoot virus disease,disease,dff5173551433e1bb492f8d00eeeeb679ac85077461ed94ff5a137757646ec11,Mendeley Data,mendeley_cocoaswolset_hvwth9dsfd_cc_by_4_public_folders,https://data.mendeley.com/datasets/hvwth9dsfd,hvwth9dsfd,CC-BY-4.0,record_url
cv1-0025,tobacco,Tobacco Mosaic Virus,disease,497dd191903cc30beaa777d8f8e000098c4697ed0a03baf08228ad59e5eef77a,HuggingFace,hf_joker5800_tobacco_leaf_diseases_unknown_viewer,,,unknown,dataset
cv1-0026,jute,Stem soft rot,disease,16ba0639e3509faefced8979028a6444861b55894a769acebd0787abbfae6804,Kaggle,kaggle_abhijitkumarghosh_jutebd_other_imagefolder,,,unknown,dataset
cv1-0027,jute,Healthy,healthy,92bc0f9b0459e5216930ca6fece93d18e068100b99d8915d3a47773eb2af2901,Kaggle,kaggle_abhijitkumarghosh_jutebd_other_imagefolder,,,unknown,dataset
cv1-0028,cashew,Anthracnose,disease,31679f45ba61a71a966d757090d4c632c4ef6437ebeea9d99e5676a42090fbf9,Mendeley Data,mendeley_ccmt_raw_bwh3zbpkpv_cc_by_4,https://data.mendeley.com/datasets/bwh3zbpkpv,bwh3zbpkpv,CC-BY-4.0,record_url
cv1-0030,turmeric,Healthy,healthy,8874b8d8ac5bf5c6f7c99b6970e6272235ed5c564d00bbcf577df65378ad967d,Mendeley Data,mendeley_turmeric_leaf_jtttfbx342_cc_by_4_public_folders,https://data.mendeley.com/datasets/jtttfbx342,jtttfbx342,CC-BY-4.0,record_url
cv1-0031,cocoa,Frosty pod rot,disease,ee93abbffb37818d8331f32ed9f0a39c4a88336c0e1bd6e6e6edf1fb13a56d09,Kaggle,kaggle_cocoa_diseases_bryandarquea_cc_by_nc_sa_yolo,,,CC-BY-NC-SA,dataset
cv1-0032,ginger,Healthy,healthy,1000b731dc8e4e11269e53b25c44a507a02c2d50855731572b417ec4ba555785,iNaturalist,inat_zingiber_officinale_healthy_ginger_cc_broad,https://www.inaturalist.org/photos/640945961,640945961,mixed/unverified,record_url
cv1-0033,jute,Yellow mosaic disease,disease,73056904295fa7c384a1d5f32c48739e0671687d02bf483c9c0a9ee6f5ac9e72,Kaggle,kaggle_abhijitkumarghosh_jutebd_other_imagefolder,,,unknown,dataset
cv1-0034,mustard_rapeseed_canola,Nitrogen Deficiency,nutrient_deficiency,232a45ab1dc703508e700b5c80fc0d86cb17b3779158ee37faa220adbd785638,Roboflow Universe,roboflow_agrikheti_plant_disease_hgequ_v1_private,,,private,none
cv1-0035,coffee,Healthy,healthy,5c9bfe12fb6c09f0a3b03285d462f488a5a3742398846e2f480b151bd296a72d,Kaggle,kaggle_custom_100_category_nc_sa_imagefolder,,,CC-BY-NC-SA,dataset
cv1-0036,bean_french_bean,Healthy,healthy,5cf0b0892ebb854b0fd7bb32badc2d3b3f6d2439e50477c4e890774cff821195,Mendeley Data,mendeley_cowpea_bean_ykvcrjffzd_cc_by_4_public_folders,https://data.mendeley.com/datasets/ykvcrjffzd,ykvcrjffzd,CC-BY-4.0,record_url
cv1-0037,bean_french_bean,Anthracnose,disease,4dc32b51f8395c3a0c0b61dca6d48f0cfadd050051a6e4a53f8cbf1bc12cd6ed,Zenodo,zenodo_tanzania_common_bean_anthracnose_15685315_cc_by_4,https://zenodo.org/records/15685315,15685315,CC-BY-4.0,record_url
