case_id,image_sha256,entity,issue,license,source
of1-0000,f988f096b73a0d481d8e0fa50a2f919310297bc51225f9354f85058fd3654ab1,aloe_vera,Anthracnose,MIT,Kaggle
of1-0001,ed1a3c03baf49ff06c1e96303bfbb69d487b4215784c65402bfdd649a23e3316,aloe_vera,Anthracnose,MIT,Kaggle
of1-0002,7835eaaebf149f9802fbafb5b22a4f939f7e9973911bacc5901f2d84d357bf8d,aloe_vera,Leaf spot syndrome,MIT,Kaggle
of1-0003,6ff4ab80a7b3a4cd8d86fe83787f646dbc67e2f5bef7be3d82a6f89acf9fff15,aloe_vera,Leaf spot syndrome,MIT,Kaggle
of1-0004,b510e430dec008ba050b6943957e9c92cffbd8ef70f394f9486945ff5e2b6d45,aloe_vera,Rust,MIT,Kaggle
of1-0005,b421c4ccd3b3b3dec63fe818b0dfaa9b1065355e9a4e1e85c4f491b206d8b29e,aloe_vera,Rust,MIT,Kaggle
of1-0006,787910d7c7c73634fea0390797a0158a51b104e0b562264bcf36db915fe10688,apple,Black Rot,CC0,Kaggle
of1-0007,b6bde29de7ac9f84d1bc059851b8b68ec7acca4b914d01832cebf466bf23760c,apple,Black Rot,CC0,Kaggle
of1-0008,46a2d77f7ae17b482b971df8b5f5288bfff9816afd66828ed09bcdd443e374c6,apple,Black leaf spot syndrome,CC-BY,other
of1-0009,c1014ab61a4c60250ebd24bd115fe943c8021e2df463363cdda568448a8c08df,apple,Black leaf spot syndrome,CC-BY,other
of1-0010,308b46f79ae60b58ad6a8d3d02a07a012ef2448b8cd32a8c0fa105acee8d8b50,apple,Brown leaf spot syndrome,CC-BY,other
of1-0011,ee47489347cdd1fb960a8eabb74c8c82b93e396833bbecb3da5eacd57e0d99b1,apple,Brown leaf spot syndrome,CC-BY,other
of1-0012,05e7353399007598cf60dbe3f10964dd67540b3fc6d48aa195bd5f3777b8c7f7,apple,Cedar-Apple Rust,CC0,Kaggle
of1-0013,e760341c0667a551fc9a35d5116c52f5359a7227d431cb653fa455925619f2eb,apple,Cedar-Apple Rust,CC0,Kaggle
of1-0014,255094f9e742f595fd911f0a58a3dfadaf3a1f08615beb69d40179e0821b9f40,apricot,Leaf blight syndrome,CC-BY,other
of1-0015,29f9debbf9cd876ade8004f75ea7bb3f2502a1028426e4aadbada3cb978370c9,apricot,Leaf blight syndrome,CC-BY,other
of1-0016,35615f5cf6aa787418e400ceb670fc749dfac6e41ea6bc585a7564f844767bd0,arecanut,Bud borer,CC-BY,Roboflow
of1-0017,2a394b0673512ef831f381dbd007008e030db0b3273dc57b40d706384ee3aed2,arecanut,Bud borer,CC-BY,Roboflow
of1-0018,39c9cc1121f7d5f7352d71a257896871794730ea092483d6cf2f72dca8279461,arecanut,Foot rot or anabe roga,CC0,iNaturalist
of1-0019,c5d0b6398d88947b16e32e1fe20109af51cb77c8bf44e3a14fa1d8ce0852b41b,arecanut,Foot rot or anabe roga,CC0,iNaturalist
of1-0020,036373a5e22fc112770d215b1e0e8e91fc1c1f05b76021dc1da8947ca09b91d4,arecanut,Koleroga or mahali fruit rot,CC0,Kaggle
of1-0021,4690387bb59539a733193cab76ec4e7343a69a4b837d6dd35e0a8ff02d7307f4,arecanut,Koleroga or mahali fruit rot,CC0,Kaggle
of1-0022,2f2684c9df6fe1a4171ffb113a4076eb628fa9ef23961092be2baaa0b3af2f07,ash_gourd,Aphids,CC-BY,Kaggle
of1-0023,9d4deda9f4e9183728673b3e59071efec96c97e6393368fee22e95a557a23055,ash_gourd,Aphids,CC-BY,Kaggle
of1-0024,60421709eed57742cae11e7ea8803afb87243eda017b9cadd82ef32c5187f644,ash_gourd,Downy mildew,CC-BY,other
of1-0025,7cd4634952be9cefb4803142d308d5c0cd7ad1247eb97a15e4a280c284d94e71,ash_gourd,Downy mildew,CC-BY,other
of1-0026,cffbdf8cde2b39ff53f696faaa7153780aa207840cf01d4675da5d55c7c9ec67,ash_gourd,Leaf curl,CC-BY,other
of1-0027,f69d81aac3e311277c6afc2d4699d4b8948cdea5eca4250aa589897d9d5f4787,ash_gourd,Leaf curl,CC-BY,other
of1-0028,8426f0fdc21a2bfc087b2db12759a56168290e21b11cd2100f7936df931a38fa,ash_gourd,Leaf miner,CC-BY,other
of1-0029,c1f03508dcfe1418b415d48d214cb60269686a941f39685f40129d9c1877aa6d,ash_gourd,Leaf miner,CC-BY,other
of1-0030,9c7ad360257a2ab3b389de3588e450972f80b9a33fec125adb24f20047b8a8fb,ash_gourd,Powdery mildew,CC-BY,Kaggle
of1-0031,64b6e7a00934043444f6bb6d006a57ed2717ee39473d7aa03c3c1d773f837bce,ash_gourd,Powdery mildew,CC-BY,Kaggle
of1-0032,032ad1febaa8d66ec764d43a59ac267317a5f7aafc59eb95828f63338dfb9f68,avocado,Avocado leafminer,CC-BY,other
of1-0033,32a9195edcc5a1181ccc2f9858a821ad557ff6287f62f8137314799fcd2c3797,avocado,Avocado leafminer,CC-BY,other
of1-0034,b555796eafe39ab8e110a2877b106e4a7cf947f167a2f885da4d729816bfac76,avocado,Persea mite,CC-BY,other
of1-0035,51badc2c88e84ee637b832bea54518ff04d2b2880b5996719a9759329334d38a,avocado,Persea mite,CC-BY,other
of1-0036,b2048dfa0bbe7ec6dc9eda170b12bea9eda4ef4bca584f78dd79a104ab829684,avocado,Red spider mite,CC-BY,other
of1-0037,d281646e4fb92e23167a3a4ffe93633319b88b950416dc6ebd732f15ac36e240,avocado,Red spider mite,CC-BY,other
of1-0038,f262182d5ee5498b1e80e13f84cd4cafdc463132f4d8cd515a81534cbab30b02,bael,Cercospora leaf spot,CC-BY,other
of1-0039,4955640099679f018797d1e30861c980ecd0dc2115f52438884e0f4569d5beda,bael,Cercospora leaf spot,CC-BY,other
of1-0040,242ab8c837d33893b822b49e20821324c392f38e8f5187759bb818ca6bef8809,bael,Leaf spot syndrome,CC-BY,other
of1-0041,f3ac736f446ff0d9eaf27600c99ce9b556e6b2d8aa5115e95cc775e3d2cb7a8c,bael,Leaf spot syndrome,CC-BY,other
of1-0042,285052067572aa8a9b050e2fedf1a345cbfd73b4e1800fbc54f54e9da7b191e6,banana,Pestalotiopsis Leaf Spot,CC-BY,Kaggle
of1-0043,89f5c296db0c84db3bc91e469d0e8765a60d0a5edda84151ae66f9c3b25ce368,banana,Pestalotiopsis Leaf Spot,CC-BY,Kaggle
